xKom,intel i7,Processor,Intel NUC i7-8559U M.2 BOX,1499,BOXNUC8i7BEK2,2021-01-16 21:25:04,
xKom,intel i7,Processor,"Intel NUC i7-10710U 2.5""SATA M.2 BOX",2299,BXNUC10I7FNH2,2021-01-16 21:25:04,
xKom,intel i7,Processor,"Intel NUC i7-8650U 2.5""SATA M.2 BOX",2199,BLKNUC7i7DNH2E,2021-01-16 21:25:04,
xKom,intel i7,Processor,Intel NUC i5-7300U M.2 BOX,1649,BLKNUC7i5DNK2E,2021-01-16 21:25:04,
xKom,ram,RAM,HyperX 8GB (1x8GB) 1600MHz CL10 Fury Blue,180,HX316C10F/8,2021-01-16 21:25:04,
xKom,ram,RAM,G.SKILL 16GB (2x8GB) 3200MHz CL14  Flare X Black Ryzen,589,F4-3200C14D-16GFX,2021-01-16 21:25:04,
xKom,ram,RAM,Kingston 8GB (1x8GB) 2400MHz CL17,153,KVR24S17S8/8,2021-01-16 21:25:04,
xKom,ram,RAM,Corsair 16GB (2x8GB) 3000MHz CL15  Vengeance LPX Red,374,CMK16GX4M2B3000C15R,2021-01-16 21:25:04,
xKom,ram,RAM,HyperX 8GB (1x8GB) 2400MHz CL14 Impact Black,157,HX424S14IB2/8,2021-01-16 21:25:04,
xKom,ram,RAM,GOODRAM 4GB (1x4GB) 1333MHz CL9,79,GR1333D364L9S/4G,2021-01-16 21:25:04,
xKom,ram,RAM,GOODRAM 8GB (1x8GB) 2133MHz CL15 IRIDIUM Black,175,IR-2133D464L15S/8G,2021-01-16 21:25:04,
xKom,ram,RAM,GOODRAM 16GB (2x8GB) 3000MHz CL16 IRDM X White,375,IR-XW3000D464L16S/16GDC,2021-01-16 21:25:04,
xKom,ram,RAM,HyperX 16GB (2x8GB)1600MHz CL10 Fury Red,565,HX316C10FRK2/16,2021-01-16 21:25:04,
xKom,ram,RAM,HyperX 16GB (2x8GB) 3000MHz CL15  Predator Black,349,HX430C15PB3K2/16,2021-01-16 21:25:04,
xKom,ram,RAM,Corsair 16GB (2x8GB) 3200MHz CL16 Vengeance LPX Red,399,CMK16GX4M2B3200C16R,2021-01-16 21:25:04,
xKom,ram,RAM,HyperX 16GB (2x8GB) 3200MHz CL16 Predator RGB,389,HX432C16PB3AK2/16,2021-01-16 21:25:04,
xKom,ram,RAM,Patriot 16GB (2x8GB) 3000MHz CL16  Viper 4,339,PV416G300C6K,2021-01-16 21:25:04,
xKom,ram,RAM,HyperX 16GB (2x8GB) 3200MHz CL16 Predator Black,349,HX432C16PB3K2/16,2021-01-16 21:25:04,
xKom,ram,RAM,GOODRAM 8GB (2x4GB) 2666MHz CL16 IRDM X Black,200,IR-X2666D464L16S/8GDC,2021-01-16 21:25:04,
xKom,ram,RAM,GOODRAM 8GB (1x8GB) 3000MHz CL16 IRDM X Black,149,IR-X3000D464L16S/8G,2021-01-16 21:25:04,
xKom,ram,RAM,GOODRAM 16GB (2x8GB) 3000MHz CL16 IRDM X Black,298,IR-X3000D464L16S/16GDC,2021-01-16 21:25:04,
xKom,ram,RAM,GOODRAM 16GB (2x8GB) 3200MHz CL16 IRIDIUM Black,319,IR-X3200D464L16S/16GDC,2021-01-16 21:25:04,
xKom,ram,RAM,Corsair 16GB(2x8GB) 3600MHz CL18 Vengeance RGB Pro,499,CMW16GX4M2Z3600C18,2021-01-16 21:25:04,
xKom,ram,RAM,Corsair 32GB (2x16GB) 3200MHz CL16 Dominator Platinum RGB,1059,CMT32GX4M2C3200C16,2021-01-16 21:25:04,
xKom,ram,RAM,G.SKILL 16GB (2x8GB) 3600MHz CL16 TridentZ RGB Neo,609,F4-3600C16D-16GTZNC,2021-01-16 21:25:04,
xKom,ram,RAM,PNY 32GB (2x16GB) 3200MHz CL16 XLR8 Gaming,579,MD32GK2D4320016XR,2021-01-16 21:25:04,
xKom,ram,RAM,Corsair 8GB (1x8GB) 2666MHz CL16 Vengeance LPX Black,179,CMK8GX4M1A2666C16,2021-01-16 21:25:04,
xKom,ram,RAM,HyperX 8GB (2x4GB) 1866MHz CL10 Fury Red,209,HX318C10FRK2/8,2021-01-16 21:25:04,
